,Price,Description,availability,Link No
0,"£3,198.98","15.6"" MSI GE66 Raider 10SGS-046UK, FHD, 240Hz, i9 10980HK, 32GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Pro      ",Pre Order,LN106589
1,"£3,398.99","15.6"" MSI GS66 Stealth 10SGS-070UK, FHD, 300Hz, i9 10980HK, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home    ",Add To Basket,LN106592
2,"£2,099.99","15.6"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 8GB RTX 2080 SUPER Max-Q, i7 10875H, 16GB DDR4, 1TB SSD, Win 10        ",Add To Basket,LN107091
3,"£2,149.99","15.6"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 8GB RTX 2080 SUPER Max-Q, i7 10875H, 32GB DDR4, 1TB SSD, Win 10   ",Add To Basket,LN107092
4,"£2,149.99","17.3"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 8GB RTX 2080 SUPER Max-Q, i7 10875H, 16GB DDR4, 1TB SSD, Win 10       ",Add To Basket,LN107093
5,"£2,199.98","17.3"" 3XS Vengeance RTX, FHD, IPS, 144Hz, 8GB RTX 2080 SUPER Max-Q, i7 10875H, 32GB DDR4, 1TB SSD, Win 10       ",Add To Basket,LN107094
6,"£2,398.99","15.6"" Gigabyte AERO 15-YB, FHD, IPS, 144Hz, i7 10750H, 32GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Home   ",Add To Basket,LN106391
7,"£2,498.99","15.6"" Acer Predator Triton 500 NH.Q6WEK.002, 300Hz FHD, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER, Win10 Home   ",Pre Order,LN108043
8,"£2,498.99","17.3"" Gigabyte AERO 17-YB, FHD, IPS, 144Hz, i7 10750H, 32GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Home   ",Pre Order,LN106392
9,"£2,598.98","15.6"" MSI GE66 Raider 10SGS-037UK, FHD, 240Hz, i7 10750HK, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home     ",Add To Basket,LN106751
10,"£2,698.99","15.6"" Gigabyte AORUS 15G YB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home      ",Add To Basket,LN106649
11,"£2,698.99","17.3"" MSI GE75 Raider 10SGS-049UK, FHD, 240Hz, i7 10750H, 16GB DDR4, 512GB NVMe+1TB HDD, 8GB RTX 2080 SUPER, Win10 Home  ",Add To Basket,LN106685
12,"£2,798.99","17.3"" Gigabyte AORUS 17G-YB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro       ",Pre Order,LN106652
13,"£2,898.98","15.6"" Gigabyte AORUS 15G YB, FHD, 240Hz, i9 10980HK, 32GB DDR4, 512GB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Pro         ",Pre Order,LN106648
14,"£2,898.98","15.6"" MSI GS66 Stealth 10SGS-071UK, FHD, 300Hz, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home     ",Add To Basket,LN106593
15,"£2,899.99","17.3"" 3XS Carbon Extreme RTX, FHD, IPS, 144Hz, 8GB RTX 2080 SUPER, i7 10700K, 32GB DDR4, 2TB SSD, Win 10        ",Add To Basket,LN107685
16,"£2,998.99","15.6"" MSI GS66 Stealth 10SGS-475UK, FHD, 300Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home    ",Pre Order,LN108835
17,"£2,998.99","17.3"" Gigabyte AORUS 17X-YB, FHD, 240Hz, i7 10875H, 32GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER, Win10 Home          ",Add To Basket,LN106651
18,"£2,999.99","15.6"" ASUS ROG Zephyrus S15 GX502LXS-HF038T, FHD 300Hz, i7 10875H, 32GB DDR4, 2x 512GB SSD, RTX 2080 Super, Win10 Home   ",Pre Order,LN106792
19,"£3,098.99","15.6 Razer Blade 15 Advanced, FHD, 300Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, TB3, Win10 Home      ",Add To Basket,LN106954
20,"£3,099.98","17.3"" ASUS ROG Zephyrus S17 GX701LXS-HG032T, Black, 300Hz FHD, i7-10875H, RTX 2080 SUPER, 32GB DDR4, 1TB SSD, Win10 Home ",Pre Order,LN106789
21,"£3,149.99","17.3"" 3XS Carbon Extreme RTX, 4K, IPS, 60Hz, 8GB RTX 2080 SUPER, i7 10700K, 32GB DDR4, 2TB SSD, Win 10           ",Add To Basket,LN107688
22,"£3,198.98","15.6 Razer Blade 15 Advanced, UHD OLED, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, TB3, Win10 Home        ",Add To Basket,LN106953
23,"£3,198.98","17.3"" Razer Blade Pro, FHD, 300Hz, i7-10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, TB3, Win10 Home     ",Add To Basket,LN107827
24,"£3,249.98","17.3"" 3XS Carbon Extreme RTX, 4K, IPS, 60Hz, 8GB RTX 2080 SUPER, i9 10900K, 32GB DDR4, 2TB SSD, Win 10          ",Pre Order,LN107689
25,"£3,298.99","15.6"" Gigabyte AERO 15-YB, UHD, AMOLED, i7 10875H, 32GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro      ",Add To Basket,LN106367
26,"£3,298.99","17.3"" MSI GE75 Raider 10SGS-048UK, FHD, 240Hz, i9 10980HK, 32GB DDR4, 512GB NVMe+1TB HDD, 8GB RTX 2080 SUPER, Win10 Pro  ",Pre Order,LN106590
27,"£3,299.99","17.3"" ASUS ROG Strix SCAR17 G732LXS-HG014T, Black, 300Hz FHD, i7-10875H, RTX 2080 SUPER, 16GB DDR4, 1TB SSD, Win10 Home  ",Add To Basket,LN106790
28,"£3,498.98","15.6"" Gigabyte AERO 15-YB, UHD, AMOLED, i9 10980HK, 32GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro    ",Add To Basket,LN106366
29,"£3,498.98","17.3"" Gigabyte AERO 17-YB, UHD, IPS, HDR, i7 10875H, 32GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro       ",Pre Order,LN106375
30,"£3,499.99","17.3"" MSI GS75 Stealth 10SGS-065UK, FHD, 300Hz, i9 10980HK, 16GB DDR4, 1TB NVMe, 8GB RTX 2080 SUPER Max-Q, Win10 Home    ",Add To Basket,LN106591
31,"£3,698.99","17.3"" Gigabyte AERO 17-YB, UHD, IPS, HDR, i9 10980HK, 32GB DDR4, 512GB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro     ",Add To Basket,LN106374
32,"£3,698.99","17.3"" Gigabyte AORUS 17X-YB, FHD, 240Hz, i9 10980HK, 32GB DDR4, 1TB NVMe + 2TB HDD, 8GB RTX 2080 SUPER, Win10 Pro       ",Add To Basket,LN106650
33,"£3,798.98","17.3"" Razer Blade Pro, 120Hz UHD, i7-10875H, 16GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, TB3, Win10 Home          ",Add To Basket,LN107828
34,"£3,999.98","15.6"" ASUS ROG Zephyrus Duo 15 GX550LXS, Dual Screen, UHD, i9 10980HK, 32GB DDR4, 2x 1TB SSD, RTX 2080 SUPER, Win10 Home ",Pre Order,LN106788
35,"£4,298.99","15.6"" Gigabyte AERO 15-YB, UHD, AMOLED, i9 10980HK, 64GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro    ",Pre Order,LN106365
36,"£4,498.99","15.6"" Gigabyte AERO 15-YB, UHD, AMOLED, i9 10980HK, 64GB DDR4, 2x 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro      ",Add To Basket,LN106067
37,"£4,498.99","17.3"" Gigabyte AERO 17-YB, UHD, IPS, HDR, i9 10980HK, 64GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 SUPER Max-Q, Win10 Pro       ",Pre Order,LN106373
38,"£4,498.99","17.3"" MSI GT76 Titan 10SGS-014UK, 4K UHD, i9 10900K, 64GB DDR4, 2x 512GB NVMe SSD+1TB HDD, 8GB RTX 2080 SUPER, Win10 Pro ",Pre Order,LN108836
39,"£3,298.99","17.3"" Razer Blade Pro, UHD, 120Hz, i7-9750H, 16GB DDR4, 1TB NVMe SSD, 8GB RTX 2080 Max-Q, USB 3.2 Type A+C, Win10 Home   ",Add To Basket,LN103945
40,"£3,598.99","17.3"" MSI GT76 Titan 9SG-010, FHD, IPS, 240Hz, i7 9750H, 32GB DDR4, 2x 512GB NVMe SSD+1TB HDD, 8GB RTX 2080, Win10 Pro   ",Add To Basket,LN99925
41,"£2,398.99","17.3"" ASUS ROG G703GXR-EV065T, FHD, IPS, 144Hz, G-SYNC, i7-9750H, 16GB, 512GB NVMe+1TB SSHD, 8GB RTX 2080, Win10 Home    ",Add To Basket,LN98138
42,"£2,498.99","15.6"" ASUS ROG Zephyrus S GX531GXR-AZ044T, FHD, IPS, 240Hz, i7-9750H, 16GB, 1TB NVMe SSD, 8GB RTX 2080 Max-Q, Win10 Home ",Add To Basket,LN98140
43,"£2,898.98","15.6"" Gigabyte AERO 15-YA, 4K UHD, AMOLED, i7 9750H, 32GB DDR4, 1TB NVMe SSD, 8GB GeForce RTX 2080 Max-Q, Win10 Pro      ",Add To Basket,LN99399
44,"£3,898.99","15.6"" Gigabyte AERO 15-YA, 4K UHD, AMOLED, i9 9980HK, 64GB DDR4, 1TB NVMe SSD, 8GB GeForce RTX 2080 Max-Q, Win10 Pro     ",Add To Basket,LN99398
45,£95.99,"Club 3D SenseVision USB 3.0 4K Laptop Mini Docking Station, 4x USB 3.0, GBe LAN, HDMI/DVI               ",Add To Basket,LN72699
46,£132.49,Club 3D CSV-1460 USB 3.0 DUAL DISPLAY 4K 60HZ Docking Station               ,Add To Basket,LN84490
47,£225.19,"Microsoft Office Home & Business 2019, 1-PC/Mac Install, inc Word, Excel, Powerpoint, OneNote, Outlook - Medialess       ",Add To Basket,LN92915
48,"£2,598.98","15.6"" MSI GE66 Raider 10SFS-039UK, FHD, 240Hz, i9 10980HK, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER, Win10 Home           ",Pre Order,LN106585
49,"£3,098.99","17.3"" MSI GS75 Stealth 10SFS-066UK, FHD, 300Hz, i9 10980HK, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home    ",Add To Basket,LN106586
50,"£1,849.99","15.6"" 3XS Vengeance RTX G-Sync, FHD, IPS, 144Hz, 8GB RTX 2070 SUPER, i7 10875H, 16GB DDR4, 1TB NVMe SSD+1TB HDD, Win 10  ",Pre Order,LN107087
51,"£1,899.98","17.3"" 3XS Vengeance RTX G-Sync, FHD, IPS, 144Hz, 8GB RTX 2070 SUPER, i7 10875H, 16GB DDR4, 1TB NVMe SSD+1TB HDD, Win 10  ",Pre Order,LN107088
52,"£1,998.98","15.6"" Gigabyte AERO 15-XB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 SUPER Max-Q, Win10 Home   ",Add To Basket,LN106390
53,"£1,999.99","17.3"" ASUS ROG Strix G17 G712LWS-EV003T, Black, 144Hz FHD, i7-10750H, RTX 2070 SUPER, 16GB DDR4, 1TB SSD, Win10 Home     ",Pre Order,LN106795
54,"£2,098.99","17.3"" Gigabyte AERO 17-XB, FHD, IPS, 144Hz, i7 10750H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 SUPER Max-Q, Win10 Home   ",Add To Basket,LN106389
55,"£2,198.99","15.6"" Acer Predator Triton 500 NH.Q6XEK.002, 300Hz FHD, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER, Win10 Home   ",Pre Order,LN108042
56,"£2,198.99","15.6"" Gigabyte AORUS 15G XB, FHD, 240Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home    ",Pre Order,LN106647
57,"£2,498.99","15.6 Razer Blade 15 Advanced, FHD, 300Hz, i7 10875H, 16GB DDR4, 512GB NVMe, 8GB RTX 2070 SUPER Max-Q, TB3, Win10 Home    ",Add To Basket,LN106951
58,"£2,498.99","15.6"" Gigabyte AERO 15-XB, UHD, AMOLED, i7 10875H, 16GB DDR4, 512GB NVMe SSD, 8GB RTX 2070 SUPER Max-Q, Win10 Pro        ",Pre Order,LN106369
59,"£2,498.99","15.6"" MSI GS66 Stealth 10SFS-074UK, FHD, 300Hz, i7 10750H, 32GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home     ",Add To Basket,LN106582
60,"£2,498.99","17.3"" Gigabyte AORUS 17X-XB, FHD, 240Hz, i7 10875H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER, Win10 Home         ",Add To Basket,LN106646
61,"£2,598.98","15.6"" MSI GS66 Stealth 10SFS-476UK, FHD, 300Hz, i7 10875H, 32GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home    ",Pre Order,LN108834
62,"£2,598.98","17.3"" MSI GS75 Stealth 10SFS-067UK, FHD, 300Hz, i7 10750H, 16GB DDR4, 1TB NVMe, 8GB RTX 2070 SUPER Max-Q, Win10 Home     ",Add To Basket,LN106587
